prompt,chosen,rejected
What are some key components of a high-level PvP build for a Sorcerer Duelist in Elden Ring?,"Spells: Carian Slicer , Swift Glintstone Shard , Come t -> CHOOSE FROM: Carian Piercer / Stars of Ruin (if you hate yourself and fun in general)/ Glintstone Arc / Magic Glintblade + Collapsing Stars / Shard Spiral / Gavel of Haima / Carian Phalanx / Eternal Darkness / Terra Magica / Anything you want really Talismans: Graven-Mass Talisman , Great-Jar's Arsenal , Stargazer Heirloom , Radagon Icon Let's start with gear","Astrologer Gloves ), Banished Knight Greaves Primary Stats: 35/40 Vigor , 55/60 (47/52 base +8 from gear) Intelligence (level 80/90 respectively) Secondary Stats: 26 Mind , 15 Endurance (we don't need to meet strength requirement of Azur's Glintstone Staff to use it) Skills: Optional parry / quickstep etc"
What are some key components to consider when creating Builds for a high-level Elden Ring character?,"Use Golden Vow to boost your damage and defenses, and Blessing of the Erdtree to keep your HP topped off. You can add other Incantations if you want because you'll have decent Incantation Scaling with the Clawmark Seal since you prioritize Strength and Faith. Use Jump Attacks on regular enemies, and remember that R1s and R2s with Maliketh's Black Blade have some hyper armor, allowing you to attack through other attacks most of the time","Use Golden Vow to boost your damage and defenses, and Blessing of the Erdtree to keep your HP topped off. You can add other Incantations if you want because you'll have decent Incantation Scaling with the Clawmark Seal since you prioritize Strength and Faith. Use Jump Attacks on regular enemies, and remember that R1s and R2s with Maliketh's Black Blade have some hyper armor, allowing you to attack through other attacks most of the time"
What are some key considerations when using the Erdtree Greatshield in Elden Ring?,"The projectile deals reduced damage the farther it travels due to severe damage dropoff, but the Arrow's Reach Talisman can alleviate this. (In this case, the talisman only reduces the damage dropoff penalty, leaving the actual range of the projectile unchanged. ) Spells cast by the player can also be parried with Golden Retaliation provided they hit the shield","The projectile deals reduced damage the farther it travels due to severe damage dropoff, but the Arrow's Reach Talisman can alleviate this. (In this case, the talisman only reduces the damage dropoff penalty, leaving the actual range of the projectile unchanged. ) Spells cast by the player can also be parried with Golden Retaliation provided they hit the shield"
What are some key details about the Stonedigger Troll boss fight in Elden Ring?,Optional boss Closest Site of Grace: Old Altus Tunnel Multiplayer allowed for this boss You can summon Spirit Ashes for this boss,Optional boss Closest Site of Grace: Limgrave Tunnels Multiplayer allowed for this boss You can summon Spirit Ashes for this boss
What are some key disadvantages of using a Wakizashi compared to other katanas?,"Disadvantages over using a second katana: Shorter than all even the shortest katana (Serpentbone Blade), resulting in its attacks missing regularly if not close to an enemy. If power-stanced with itself, its power-stance moveset is slower than the normal dagger moveset, resulting in slower status buildup","Disadvantages over using a second katana: Shorter than all even the shortest katana (Serpentbone Blade), resulting in its attacks missing regularly if not close to an enemy. If power-stanced with itself, its power-stance moveset is slower than the normal dagger moveset, resulting in slower status buildup"
What are some key similarities between the Farum Azula Dragon and other bosses in Elden Ring?,"It shares Lansseax's phase transition at 50% HP and the resulting alterations to the moveset. The second Greater Farum Azula Dragon uses a modified version of Lichdragon Fortissax's second phase moveset, with the only difference being the omission of Fortissax's Lightning Glaive attack","It shares Lansseax's phase transition at 50% HP and the resulting alterations to the moveset. The second Greater Farum Azula Dragon uses a modified version of Lichdragon Fortissax's second phase moveset, with the only difference being the omission of Fortissax's Lightning Glaive attack"
What are some key terms to use when searching for all crafting materials in Elden Ring?,"Quick Search of All Crafting Materials Recommended Search Terms: , Infinitely spawns, Finite spawns Dropped, Unlimited stock, Container","Quick Search of All Crafting Materials Recommended Search Terms: , Infinitely spawns, Finite spawns Dropped, Unlimited stock, Container"
What are some key things to consider when using Square Off in Elden Ring?,"As it counts as a thrust attack, this attack benefits from the Spear Talisman. This can also catch people rolling away after a riposte if timed well in PVP. Be wary of the windup and tracking, as it can be hard to land to enemies extremely close to you. The player does not stop moving until the actual thrust is made","This attack deals a considerable amount of damage, almost equivalent to two heavy attacks while two handing from the same weapon. Be wary of the windup and tracking, as it can be hard to land to enemies extremely close to you. The player does not stop moving until the actual thrust is made. The attack also heavily damages stance (40), making stance breaking enemies extremely easy and effective"
What are some notable Sites of Grace & Sub-Locations found within Liurnia of the Lakes in Elden Ring?,Fallen Ruins of the Lake. Folly on The Lake. Foot of the Four Belfries. Frenzied Flame Village Outskirts. Gate Town Bridge. Gate Town North. Grand Lift of Dectus. Jarburg. Lake-Facing Cliffs. Lakeside Crystal Cave. Laskyar Ruins. Liurnia Highway North. Liurnia Highway South. Liurnia Lake Shore. Liurnia Tower Bridge. Magma Wyrm Main Academy Gate. Main Caria Manor Gate Manor Lower Level,Manor Upper Level. Mausoleum Compound. Moonlight Altar. Northern Liurnia Lake Shore. Ranni's Chamber. Ranni's Rise. Raya Lucaria Crystal Tunnel. Raya Lucaria Grand Library. Ravine-Veiled Village. Revenger's Shack. Road's End Catacombs. Road to the Manor. Ruined Labyrinth. Ruin-Strewn Precipice. Ruin-Strewn Precipice Overlook. Royal Moongazing Grounds. Scenic Isle. Schoolhouse Classroom Site. Slumbering Wolf's Shack. Sorcerer's Isle. South Raya Lucaria Gate. Stillwater Cave. Study Hall Entrance. Temple Quarter The Four Belfries. The Ravine Village of the Albinaurics
What are some notable bosses that players encounter while exploring Mt. Gelmir?,"The great serpent of Mt. Gelmir that swallowed Praetor Rykard. Attacks with poisonous spit, bites, and slams. Location: Mt. Gelmir Strengths: Strengths Weaknesses: Weaknesses Rewards: Rykard's Great Rune , Remembrance of the Blasphemous","Lord of the Volcano Manor. Purposefully fed himself to the Serpent in order to rise against the Erdtree Type: Demigod Location: Mt. Gelmir Weakness: Frostbite (weak), Serpent-Hunter (extremely weak) Strengths: Standard , Slash , and Pierce Damage. Lightning (Strong). Strike Damage , Magic , and Holy (Very Strong). Fire (Extremely Strong). All Status Effects. Rewards: Rykard's Great Rune , Remembrance of the Blasphemous"
What are some notable examples of Colossal Swords in Elden Ring?,Quick Search of All Weapons Fire Knight's Greatsword,Collosal Swords Showcase
What are some of the most popular Builds in Elden Ring?,"Colossal Knight : A Strength build that uses Colossal Weapons to get the maximum damage per swing, often killing enemies and Bosses before they've even attacked. Enchanted Knight : A melee build that uses Carian Sword Sorceries in one hand while using a Shield in the other. Magic Archer : A hybrid ranged melee build with a heavy focus on wielding a Bow and picking off enemies at range",Crusader : A Faith/melee hybrid Build that utilizes Block Counters as well as Faith-based Incantations to deal high damage while being very tanky. Colossal Crusher : A pure Strength Build that uses Troll's Roar to crush enemies into oblivion via Staggers and Critical Strikes. Black Knife Assassin : A dual Daggers Build that uses Faith and Dexterity to shred enemies up close via repeated strikes. Bloody Bowman : A pure Archer Build that uses Dexterity and Strength and status effect arrows to defeat enemies
What are some other notable types of weapons besides Great Spears?,Quick Search of All Weapons,Quick Search of All Weapons
What are some possible Ashes of War that can be applied to the Iron Greatsword?,Click below for a list of all possible Ashes of War that can be applied to the greatsword,Click below for a list of all possible Ashes of War that can be applied to the greatsword
What are some recommended search terms for finding all the Bell Bearings in Elden Ring?,"Quick Search of All Bell Bearings Recommended Search Terms: Smithing Stone, Glovewort","Quick Search of All Bell Bearings Recommended Search Terms: Smithing Stone, Glovewort"
What are some recommended search terms for finding all the Key Items in Elden Ring?,"Quick Search of All Key Items Recommended Search Terms: Quest, Exploration, Maps, Feature Unlock Slot Increase, Container, Exchange","Quick Search of All Key Items Recommended Search Terms: Quest, Exploration, Maps, Feature Unlock Slot Increase, Container, Exchange"
What are some recommended search terms for finding all the Remembrances in Elden Ring?,"Quick Search of All Remembrances Recommended Search Terms: Weapon, Talisman, Ash of War Tool, Sorcery, Incantation","Quick Search of All Remembrances Recommended Search Terms: Weapon, Talisman, Ash of War Tool, Sorcery, Incantation"
